Date,Symbole,Nom,Volume,Cours ouverture,Cours Cloture,Variation
2025-12-23 14:15:34.204618,ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,1 894,3 030,3 025,"0,00"
2025-12-23 14:15:34.204659,BICB,BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN,265,4 965,4 950,"-0,30"
2025-12-23 14:15:34.204689,BICC,BICI COTE D'IVOIRE,41,19 400,19 340,"-0,33"
2025-12-23 14:15:34.204709,BNBC,BERNABE COTE D'IVOIRE,136,1 425,1 450,"1,75"
2025-12-23 14:15:34.204728,BOAB,BANK OF AFRICA BENIN,2 225,5 890,5 820,"-1,36"
2025-12-23 14:15:34.204748,BOABF,BANK OF AFRICA BURKINA FASO,1 847,3 810,3 945,"3,68"
2025-12-23 14:15:34.204766,BOAC,BANK OF AFRICA COTE D'IVOIRE,806,7 150,7 175,"1,20"
2025-12-23 14:15:34.204785,BOAM,BANK OF AFRICA MALI,1 204,4 300,4 300,"-1,15"
2025-12-23 14:15:34.204802,BOAN,BANK OF AFRICA NIGER,442,2 750,2 750,"5,77"
2025-12-23 14:15:34.204820,BOAS,BANK OF AFRICA SENEGAL,1 823,5 240,5 235,"-0,10"
2025-12-23 14:15:34.204837,CABC,SICABLE COTE D'IVOIRE,1 718,2 275,2 365,"7,50"
2025-12-23 14:15:34.204854,CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,68,10 780,10 775,"-0,05"
2025-12-23 14:15:34.204871,CFAC,CFAO MOTORS COTE D'IVOIRE,11 191,1 450,1 400,"-3,45"
2025-12-23 14:15:34.204888,CIEC,CIE COTE D'IVOIRE,7 450,2 445,2 350,"-3,89"
2025-12-23 14:15:34.204905,ECOC,ECOBANK COTE D'IVOIRE,675,15 000,15 000,"-0,03"
2025-12-23 14:15:34.204921,ETIT,Ecobank Transnational Incorporated TOGO,146 618,23,23,"0,00"
2025-12-23 14:15:34.204937,FTSC,FILTISAC COTE D'IVOIRE,1 646,2 295,2 290,"1,10"
2025-12-23 14:15:34.204956,LNBB,LOTERIE NATIONALE DU BENIN,16 350,3 900,3 995,"2,44"
2025-12-23 14:15:34.204975,NEIC,NEI-CEDA COTE D'IVOIRE,1 548,945,950,"0,53"
2025-12-23 14:15:34.204992,NSBC,NSIA BANQUE COTE D'IVOIRE,1 118,11 400,11 400,"0,00"
2025-12-23 14:15:34.205008,NTLC,NESTLE COTE D'IVOIRE,371,11 050,10 950,"-0,90"
2025-12-23 14:15:34.205025,ONTBF,ONATEL BURKINA FASO,993,2 495,2 490,"2,05"
2025-12-23 14:15:34.205041,ORAC,ORANGE COTE D'IVOIRE,491,14 600,14 505,"-0,65"
2025-12-23 14:15:34.205058,ORGT,ORAGROUP TOGO,290,2 495,2 500,"-2,53"
2025-12-23 14:15:34.205076,PALC,PALM COTE D'IVOIRE,4 375,8 000,8 095,"1,19"
2025-12-23 14:15:34.205093,PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,134,3 800,3 780,"-0,66"
2025-12-23 14:15:34.205109,SAFC,SAFCA COTE D'IVOIRE,2 043,3 245,3 295,"1,54"
2025-12-23 14:15:34.205126,SCRC,SUCRIVOIRE COTE D'IVOIRE,3 095,1 115,1 080,"-3,14"
2025-12-23 14:15:34.205142,SDCC,SODE COTE D'IVOIRE,761,5 800,5 800,"0,00"
2025-12-23 14:15:34.205158,SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,2 098,1 420,1 435,"1,06"
2025-12-23 14:15:34.205174,SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,0,0,700,"0,00"
2025-12-23 14:15:34.205193,SGBC,SOCIETE GENERALE COTE D'IVOIRE,6 847,28 550,27 995,"-0,02"
2025-12-23 14:15:34.205210,SHEC,VIVO ENERGY COTE D'IVOIRE,2 821,1 410,1 315,"-6,74"
2025-12-23 14:15:34.205226,SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,3 416,5 650,5 650,"0,00"
2025-12-23 14:15:34.205247,SICC,SICOR COTE D'IVOIRE,400,3 255,3 255,"0,31"
2025-12-23 14:15:34.205264,SIVC,ERIUM COTE D’IVOIRE,85 892,1 660,1 775,"7,25"
2025-12-23 14:15:34.205291,SLBC,SOLIBRA COTE D'IVOIRE,214,29 980,28 800,"0,00"
2025-12-23 14:15:34.205311,SMBC,SMB COTE D'IVOIRE,215,9 600,9 455,"-1,51"
2025-12-23 14:15:34.205329,SNTS,SONATEL SENEGAL,2 482,25 090,25 000,"0,00"
2025-12-23 14:15:34.205346,SOGC,SOGB COTE D'IVOIRE,2 788,7 750,7 795,"0,71"
2025-12-23 14:15:34.205362,SPHC,SAPH COTE D'IVOIRE,8 776,7 420,7 600,"2,43"
2025-12-23 14:15:34.205379,STAC,SETAO COTE D'IVOIRE,5 737,1 240,1 240,"7,36"
2025-12-23 14:15:34.205395,STBC,SITAB COTE D'IVOIRE,3 049,19 540,19 550,"0,10"
2025-12-23 14:15:34.205412,TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,551,2 340,2 345,"0,21"
2025-12-23 14:15:34.205428,TTLS,TOTALENERGIES MARKETING SENEGAL,658,2 545,2 545,"2,83"
2025-12-23 14:15:34.205447,UNLC,UNILEVER COTE D'IVOIRE,21,34 225,34 225,"0,00"
2025-12-23 14:15:34.205464,UNXC,UNIWAX COTE D'IVOIRE,12 806,1 400,1 395,"-0,36"
