Date,Symbole,Nom,Volume,Cours ouverture,Cours Cloture,Variation
2026-05-05 09:56:42.437511,ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,543,2 975,2 950,"-0,84"
2026-05-05 09:56:42.437551,BICB,BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN,100,5 260,5 260,"-0,85"
2026-05-05 09:56:42.437575,BICC,BICI COTE D'IVOIRE,100,24 850,24 850,"-0,60"
2026-05-05 09:56:42.437595,BNBC,BERNABE COTE D'IVOIRE,0,0,1 450,"0,00"
2026-05-05 09:56:42.437614,BOAB,BANK OF AFRICA BENIN,293,8 955,8 955,"0,00"
2026-05-05 09:56:42.437634,BOABF,BANK OF AFRICA BURKINA FASO,545,5 410,5 460,"0,00"
2026-05-05 09:56:42.437653,BOAC,BANK OF AFRICA COTE D'IVOIRE,0,0,9 435,"0,00"
2026-05-05 09:56:42.437674,BOAM,BANK OF AFRICA MALI,302,4 690,4 700,"0,00"
2026-05-05 09:56:42.437692,BOAN,BANK OF AFRICA NIGER,311,3 625,3 625,"-0,14"
2026-05-05 09:56:42.437709,BOAS,BANK OF AFRICA SENEGAL,615,7 100,7 100,"0,00"
2026-05-05 09:56:42.437727,CABC,SICABLE COTE D'IVOIRE,329,3 650,3 655,"0,00"
2026-05-05 09:56:42.437744,CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,164,16 300,16 300,"0,31"
2026-05-05 09:56:42.437763,CFAC,CFAO MOTORS COTE D'IVOIRE,0,0,1 430,"0,00"
2026-05-05 09:56:42.437779,CIEC,CIE COTE D'IVOIRE,0,0,3 185,"0,00"
2026-05-05 09:56:42.437799,ECOC,ECOBANK COTE D'IVOIRE,121,16 055,16 055,"-0,28"
2026-05-05 09:56:42.437816,ETIT,Ecobank Transnational Incorporated TOGO,73 232,30,30,"0,00"
2026-05-05 09:56:42.437832,FTSC,FILTISAC COTE D'IVOIRE,135,2 195,2 195,"0,00"
2026-05-05 09:56:42.437854,LNBB,LOTERIE NATIONALE DU BENIN,283,3 900,3 900,"0,65"
2026-05-05 09:56:42.437872,NEIC,NEI-CEDA COTE D'IVOIRE,124,1 775,1 775,"0,85"
2026-05-05 09:56:42.437889,NSBC,NSIA BANQUE COTE D'IVOIRE,1 016,15 000,14 980,"0,27"
2026-05-05 09:56:42.437905,NTLC,NESTLE COTE D'IVOIRE,103,12 000,12 000,"-1,84"
2026-05-05 09:56:42.437922,ONTBF,ONATEL BURKINA FASO,26,2 780,2 780,"0,00"
2026-05-05 09:56:42.437938,ORAC,ORANGE COTE D'IVOIRE,0,0,15 000,"0,00"
2026-05-05 09:56:42.437954,ORGT,ORAGROUP TOGO,0,0,3 475,"0,00"
2026-05-05 09:56:42.437971,PALC,PALM COTE D'IVOIRE,150,6 995,6 995,"-0,07"
2026-05-05 09:56:42.437987,PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,0,0,4 255,"0,00"
2026-05-05 09:56:42.438003,SAFC,SAFCA COTE D'IVOIRE,742,3 335,3 340,"0,00"
2026-05-05 09:56:42.438020,SCRC,SUCRIVOIRE COTE D'IVOIRE,3 059,2 135,2 135,"0,00"
2026-05-05 09:56:42.438039,SDCC,SODE COTE D'IVOIRE,120,9 400,9 400,"0,00"
2026-05-05 09:56:42.438054,SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,722,1 680,1 680,"0,00"
2026-05-05 09:56:42.438070,SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,0,0,1 555,"0,00"
2026-05-05 09:56:42.438086,SGBC,SOCIETE GENERALE COTE D'IVOIRE,0,0,33 000,"0,00"
2026-05-05 09:56:42.438102,SHEC,VIVO ENERGY COTE D'IVOIRE,164,2 000,2 000,"0,00"
2026-05-05 09:56:42.438118,SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,0,0,7 280,"0,00"
2026-05-05 09:56:42.438134,SICC,SICOR COTE D'IVOIRE,7,4 290,4 290,"0,00"
2026-05-05 09:56:42.438149,SIVC,ERIUM COTE D’IVOIRE,185,2 775,2 775,"0,00"
2026-05-05 09:56:42.438165,SLBC,SOLIBRA COTE D'IVOIRE,0,0,37 400,"0,00"
2026-05-05 09:56:42.438182,SMBC,SMB COTE D'IVOIRE,485,11 405,11 405,"-1,64"
2026-05-05 09:56:42.438198,SNTS,SONATEL SENEGAL,562,29 000,29 000,"0,00"
2026-05-05 09:56:42.438215,SOGC,SOGB COTE D'IVOIRE,37,7 100,7 200,"0,00"
2026-05-05 09:56:42.438231,SPHC,SAPH COTE D'IVOIRE,333,6 700,6 700,"-0,30"
2026-05-05 09:56:42.438247,STAC,SETAO COTE D'IVOIRE,21,2 955,2 955,"0,00"
2026-05-05 09:56:42.438268,STBC,SITAB COTE D'IVOIRE,256,20 500,20 500,"0,00"
2026-05-05 09:56:42.438284,TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,100,2 740,2 740,"-0,36"
2026-05-05 09:56:42.438302,TTLS,TOTALENERGIES MARKETING SENEGAL,33,3 010,3 010,"0,00"
2026-05-05 09:56:42.438336,UNLC,UNILEVER COTE D'IVOIRE,0,0,60 500,"0,00"
2026-05-05 09:56:42.438355,UNXC,UNIWAX COTE D'IVOIRE,471,1 880,1 880,"0,00"
