Date,Symbole,Nom,Volume,Cours ouverture,Cours Cloture,Variation
2026-08-24 08:39:34.944588,ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,4 381,3 390,3 350,"-1,47"
2026-08-24 08:39:34.944622,BICB,BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN,8 156,8 450,8 200,"-2,38"
2026-08-24 08:39:34.944643,BICC,BICI COTE D'IVOIRE,501,29 250,28 800,"-1,54"
2026-08-24 08:39:34.944659,BNBC,BERNABE COTE D'IVOIRE,3 586,1 990,1 990,"0,00"
2026-08-24 08:39:34.944672,BOAB,BANK OF AFRICA BENIN,1 454,9 500,9 985,"5,11"
2026-08-24 08:39:34.944686,BOABF,BANK OF AFRICA BURKINA FASO,1 636,7 700,7 600,"1,33"
2026-08-24 08:39:34.944699,BOAC,BANK OF AFRICA COTE D'IVOIRE,9 474,13 200,12 985,"-2,37"
2026-08-24 08:39:34.944716,BOAM,BANK OF AFRICA MALI,10 805,6 285,6 490,"3,84"
2026-08-24 08:39:34.944728,BOAN,BANK OF AFRICA NIGER,20 169,5 200,5 280,"0,57"
2026-08-24 08:39:34.944741,BOAS,BANK OF AFRICA SENEGAL,23 281,8 095,8 000,"0,00"
2026-08-24 08:39:34.944753,CABC,SICABLE COTE D'IVOIRE,2 739,3 705,3 640,"-1,75"
2026-08-24 08:39:34.944768,CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,1 803,29 000,30 000,"3,45"
2026-08-24 08:39:34.944781,CFAC,CFAO MOTORS COTE D'IVOIRE,4 497,1 715,1 740,"3,57"
2026-08-24 08:39:34.944794,CIEC,CIE COTE D'IVOIRE,8 175,7 190,6 900,"-4,03"
2026-08-24 08:39:34.944806,ECOC,ECOBANK COTE D'IVOIRE,5 479,16 855,16 795,"-0,36"
2026-08-24 08:39:34.944818,ETIT,Ecobank Transnational Incorporated TOGO,1 185 056,67,66,"0,00"
2026-08-24 08:39:34.944832,FTSC,FILTISAC COTE D'IVOIRE,2 890,2 185,2 180,"0,00"
2026-08-24 08:39:34.944846,LNBB,LOTERIE NATIONALE DU BENIN,15 058,4 100,4 095,"-0,12"
2026-08-24 08:39:34.944860,NEIC,NEI-CEDA COTE D'IVOIRE,1 450,2 350,2 400,"2,13"
2026-08-24 08:39:34.944871,NSBC,NSIA BANQUE COTE D'IVOIRE,1 444,22 900,22 900,"0,00"
2026-08-24 08:39:34.944883,NTLC,NESTLE COTE D'IVOIRE,353,17 000,17 000,"0,00"
2026-08-24 08:39:34.944895,ONTBF,ONATEL BURKINA FASO,4 845,2 940,2 885,"-1,87"
2026-08-24 08:39:34.944907,ORAC,ORANGE COTE D'IVOIRE,1 539,20 205,21 015,"4,01"
2026-08-24 08:39:34.944921,ORGT,ORAGROUP TOGO,1 710,3 180,3 125,"-1,73"
2026-08-24 08:39:34.944933,PALC,PALM COTE D'IVOIRE,1 107,9 600,9 630,"-0,10"
2026-08-24 08:39:34.944947,PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,410,4 475,4 470,"-0,11"
2026-08-24 08:39:34.944959,SAFC,SAFCA COTE D'IVOIRE,3 985,5 700,5 700,"0,00"
2026-08-24 08:39:34.944971,SCRC,SUCRIVOIRE COTE D'IVOIRE,8 444,3 350,3 380,"0,90"
2026-08-24 08:39:34.944983,SDCC,SODE COTE D'IVOIRE,965,12 090,12 145,"0,45"
2026-08-24 08:39:34.944994,SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,13 302,2 700,2 780,"1,65"
2026-08-24 08:39:34.945008,SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,16 584,1 575,1 550,"-2,52"
2026-08-24 08:39:34.945020,SGBC,SOCIETE GENERALE COTE D'IVOIRE,2 696,39 000,39 195,"-2,01"
2026-08-24 08:39:34.945031,SHEC,VIVO ENERGY COTE D'IVOIRE,5 653,2 450,2 460,"0,41"
2026-08-24 08:39:34.945043,SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,8 779,9 050,9 000,"-1,10"
2026-08-24 08:39:34.945055,SICC,SICOR COTE D'IVOIRE,270,9 380,8 650,"-7,49"
2026-08-24 08:39:34.945066,SIVC,ERIUM COTE D’IVOIRE,1 122,2 270,2 370,"-0,42"
2026-08-24 08:39:34.945078,SLBC,SOLIBRA COTE D'IVOIRE,1 396,37 700,37 005,"-1,84"
2026-08-24 08:39:34.945090,SMBC,SMB COTE D'IVOIRE,2 747,17 090,16 620,"0,00"
2026-08-24 08:39:34.945102,SNTS,SONATEL SENEGAL,13 615,34 400,36 980,"7,50"
2026-08-24 08:39:34.945114,SOGC,SOGB COTE D'IVOIRE,1 938,8 195,8 175,"-0,24"
2026-08-24 08:39:34.945126,SPHC,SAPH COTE D'IVOIRE,7 434,8 300,9 440,"5,59"
2026-08-24 08:39:34.945149,STAC,SETAO COTE D'IVOIRE,3 387,2 550,2 595,"1,76"
2026-08-24 08:39:34.945162,STBC,SITAB COTE D'IVOIRE,2 631,23 000,22 900,"-0,43"
2026-08-24 08:39:34.945174,TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,6 686,3 300,3 400,"3,19"
2026-08-24 08:39:34.945186,TTLS,TOTALENERGIES MARKETING SENEGAL,3 491,3 965,3 900,"-1,64"
2026-08-24 08:39:34.945200,UNLC,UNILEVER COTE D'IVOIRE,1,52 200,52 200,"0,38"
2026-08-24 08:39:34.945212,UNXC,UNIWAX COTE D'IVOIRE,10 893,2 470,2 465,"-0,20"
