Date,Symbole,Nom,Volume,Cours ouverture,Cours Cloture,Variation
2026-04-02 12:58:55.502853,ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,1 927,3 660,3 690,"1,65"
2026-04-02 12:58:55.502897,BICB,BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN,782,5 100,5 200,"0,97"
2026-04-02 12:58:55.502923,BICC,BICI COTE D'IVOIRE,193,24 025,24 500,"1,03"
2026-04-02 12:58:55.502946,BNBC,BERNABE COTE D'IVOIRE,847,1 585,1 555,"-2,20"
2026-04-02 12:58:55.502965,BOAB,BANK OF AFRICA BENIN,2 663,7 700,7 690,"1,18"
2026-04-02 12:58:55.502985,BOABF,BANK OF AFRICA BURKINA FASO,2 775,5 510,5 600,"0,90"
2026-04-02 12:58:55.503003,BOAC,BANK OF AFRICA COTE D'IVOIRE,5 621,8 500,8 500,"0,00"
2026-04-02 12:58:55.503021,BOAM,BANK OF AFRICA MALI,3 185,4 600,4 680,"0,00"
2026-04-02 12:58:55.503040,BOAN,BANK OF AFRICA NIGER,444,2 700,2 690,"-0,37"
2026-04-02 12:58:55.503059,BOAS,BANK OF AFRICA SENEGAL,2 065,6 785,6 800,"0,22"
2026-04-02 12:58:55.503078,CABC,SICABLE COTE D'IVOIRE,3 774,3 655,3 900,"6,70"
2026-04-02 12:58:55.503097,CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,2 022,13 905,14 885,"7,47"
2026-04-02 12:58:55.503115,CFAC,CFAO MOTORS COTE D'IVOIRE,678,1 615,1 610,"-0,62"
2026-04-02 12:58:55.503133,CIEC,CIE COTE D'IVOIRE,773,3 395,3 390,"-0,29"
2026-04-02 12:58:55.503150,ECOC,ECOBANK COTE D'IVOIRE,659,16 400,16 400,"-0,61"
2026-04-02 12:58:55.503167,ETIT,Ecobank Transnational Incorporated TOGO,177 502,33,33,"0,00"
2026-04-02 12:58:55.503184,FTSC,FILTISAC COTE D'IVOIRE,496,2 310,2 315,"0,65"
2026-04-02 12:58:55.503204,LNBB,LOTERIE NATIONALE DU BENIN,217,3 920,3 800,"-3,06"
2026-04-02 12:58:55.503222,NEIC,NEI-CEDA COTE D'IVOIRE,400,1 400,1 400,"-0,36"
2026-04-02 12:58:55.503243,NSBC,NSIA BANQUE COTE D'IVOIRE,388,14 200,14 200,"0,71"
2026-04-02 12:58:55.503260,NTLC,NESTLE COTE D'IVOIRE,193,12 500,12 500,"0,00"
2026-04-02 12:58:55.503277,ONTBF,ONATEL BURKINA FASO,499,2 900,2 930,"-0,34"
2026-04-02 12:58:55.503295,ORAC,ORANGE COTE D'IVOIRE,842,15 200,15 100,"-0,66"
2026-04-02 12:58:55.503312,ORGT,ORAGROUP TOGO,2 068,3 660,3 660,"0,00"
2026-04-02 12:58:55.503376,PALC,PALM COTE D'IVOIRE,718,8 080,8 080,"0,00"
2026-04-02 12:58:55.503410,PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,795,4 765,4 750,"-2,66"
2026-04-02 12:58:55.503431,SAFC,SAFCA COTE D'IVOIRE,2 362,7 555,7 500,"-0,73"
2026-04-02 12:58:55.503450,SCRC,SUCRIVOIRE COTE D'IVOIRE,10 182,1 850,1 800,"4,05"
2026-04-02 12:58:55.503467,SDCC,SODE COTE D'IVOIRE,190,7 400,7 250,"-2,03"
2026-04-02 12:58:55.503485,SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,3 195,1 925,1 885,"-2,08"
2026-04-02 12:58:55.503503,SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,3 303,1 975,1 975,"0,00"
2026-04-02 12:58:55.503525,SGBC,SOCIETE GENERALE COTE D'IVOIRE,442,34 500,34 500,"0,00"
2026-04-02 12:58:55.503542,SHEC,VIVO ENERGY COTE D'IVOIRE,1 080,2 175,2 175,"-0,46"
2026-04-02 12:58:55.503559,SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,1 167,6 900,6 990,"1,30"
2026-04-02 12:58:55.503576,SICC,SICOR COTE D'IVOIRE,500,4 000,4 000,"0,00"
2026-04-02 12:58:55.503593,SIVC,ERIUM COTE D’IVOIRE,2 552,2 920,2 930,"0,34"
2026-04-02 12:58:55.503611,SLBC,SOLIBRA COTE D'IVOIRE,61,39 000,38 850,"-0,38"
2026-04-02 12:58:55.503627,SMBC,SMB COTE D'IVOIRE,60,12 500,12 490,"-0,08"
2026-04-02 12:58:55.503644,SNTS,SONATEL SENEGAL,1 848,29 000,28 800,"-0,69"
2026-04-02 12:58:55.503661,SOGC,SOGB COTE D'IVOIRE,3 180,7 690,7 680,"-1,54"
2026-04-02 12:58:55.503678,SPHC,SAPH COTE D'IVOIRE,2 284,6 960,6 905,"-0,79"
2026-04-02 12:58:55.503696,STAC,SETAO COTE D'IVOIRE,6 643,3 000,3 140,"7,35"
2026-04-02 12:58:55.503713,STBC,SITAB COTE D'IVOIRE,307,21 005,21 500,"2,38"
2026-04-02 12:58:55.503729,TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,6 828,2 710,2 710,"-0,37"
2026-04-02 12:58:55.503745,TTLS,TOTALENERGIES MARKETING SENEGAL,663,3 250,3 250,"0,00"
2026-04-02 12:58:55.503764,UNLC,UNILEVER COTE D'IVOIRE,53,69 000,64 500,"0,00"
2026-04-02 12:58:55.503781,UNXC,UNIWAX COTE D'IVOIRE,13 216,1 990,1 970,"-0,25"
