Date,Symbole,Nom,Volume,Cours ouverture,Cours Cloture,Variation
2025-12-17 14:16:58.296298,ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,3 619,3 180,3 170,"-0,31"
2025-12-17 14:16:58.296339,BICB,BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN,411,4 905,4 995,"0,00"
2025-12-17 14:16:58.296367,BICC,BICI COTE D'IVOIRE,171,19 845,19 825,"-0,10"
2025-12-17 14:16:58.296388,BNBC,BERNABE COTE D'IVOIRE,1 900,1 460,1 400,"-4,11"
2025-12-17 14:16:58.296407,BOAB,BANK OF AFRICA BENIN,3 542,5 810,5 900,"-0,59"
2025-12-17 14:16:58.296427,BOABF,BANK OF AFRICA BURKINA FASO,1 556,4 000,4 000,"0,00"
2025-12-17 14:16:58.296445,BOAC,BANK OF AFRICA COTE D'IVOIRE,2 251,7 175,7 170,"-0,07"
2025-12-17 14:16:58.296463,BOAM,BANK OF AFRICA MALI,888,4 340,4 310,"0,00"
2025-12-17 14:16:58.296480,BOAN,BANK OF AFRICA NIGER,1 191,2 530,2 620,"3,56"
2025-12-17 14:16:58.296499,BOAS,BANK OF AFRICA SENEGAL,3 739,5 395,5 300,"-1,76"
2025-12-17 14:16:58.296515,CABC,SICABLE COTE D'IVOIRE,727,2 400,2 345,"-0,21"
2025-12-17 14:16:58.296533,CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,234,10 790,10 610,"0,05"
2025-12-17 14:16:58.296551,CFAC,CFAO MOTORS COTE D'IVOIRE,4 512,1 540,1 515,"5,21"
2025-12-17 14:16:58.296568,CIEC,CIE COTE D'IVOIRE,2 400,2 495,2 470,"-1,00"
2025-12-17 14:16:58.296592,ECOC,ECOBANK COTE D'IVOIRE,6 475,15 050,15 300,"1,66"
2025-12-17 14:16:58.296611,ETIT,Ecobank Transnational Incorporated TOGO,84 879,23,23,"0,00"
2025-12-17 14:16:58.296627,FTSC,FILTISAC COTE D'IVOIRE,1 934,2 290,2 230,"-2,83"
2025-12-17 14:16:58.296644,LNBB,LOTERIE NATIONALE DU BENIN,664,3 730,3 875,"-0,13"
2025-12-17 14:16:58.296660,NEIC,NEI-CEDA COTE D'IVOIRE,1 199,935,940,"-0,53"
2025-12-17 14:16:58.296676,NSBC,NSIA BANQUE COTE D'IVOIRE,835,11 935,11 920,"-0,13"
2025-12-17 14:16:58.296692,NTLC,NESTLE COTE D'IVOIRE,1 243,11 250,11 150,"-0,89"
2025-12-17 14:16:58.296711,ONTBF,ONATEL BURKINA FASO,2 470,2 495,2 435,"0,83"
2025-12-17 14:16:58.296728,ORAC,ORANGE COTE D'IVOIRE,400,14 800,14 800,"0,00"
2025-12-17 14:16:58.296744,ORGT,ORAGROUP TOGO,1 110,2 570,2 500,"-2,72"
2025-12-17 14:16:58.296761,PALC,PALM COTE D'IVOIRE,8 741,8 000,7 995,"-0,06"
2025-12-17 14:16:58.296777,PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,329,3 800,3 755,"-1,18"
2025-12-17 14:16:58.296793,SAFC,SAFCA COTE D'IVOIRE,1 144,3 345,3 305,"-1,34"
2025-12-17 14:16:58.296811,SCRC,SUCRIVOIRE COTE D'IVOIRE,4 651,1 100,1 095,"1,86"
2025-12-17 14:16:58.296827,SDCC,SODE COTE D'IVOIRE,140,6 105,6 050,"-0,98"
2025-12-17 14:16:58.296845,SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,12 045,1 450,1 410,"-2,76"
2025-12-17 14:16:58.296860,SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,0,0,700,"0,00"
2025-12-17 14:16:58.296879,SGBC,SOCIETE GENERALE COTE D'IVOIRE,383,29 000,28 990,"-0,03"
2025-12-17 14:16:58.296895,SHEC,VIVO ENERGY COTE D'IVOIRE,2 526,1 495,1 500,"0,00"
2025-12-17 14:16:58.296911,SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,8 992,5 650,5 600,"-0,88"
2025-12-17 14:16:58.296926,SICC,SICOR COTE D'IVOIRE,156,3 595,3 505,"-2,37"
2025-12-17 14:16:58.296942,SIVC,ERIUM COTE D’IVOIRE,1 072,1 335,1 335,"7,23"
2025-12-17 14:16:58.296958,SLBC,SOLIBRA COTE D'IVOIRE,226,28 860,28 860,"0,00"
2025-12-17 14:16:58.296974,SMBC,SMB COTE D'IVOIRE,766,9 455,9 450,"-1,05"
2025-12-17 14:16:58.296990,SNTS,SONATEL SENEGAL,5 319,25 200,25 200,"0,00"
2025-12-17 14:16:58.297019,SOGC,SOGB COTE D'IVOIRE,1 347,7 800,7 795,"-0,06"
2025-12-17 14:16:58.297037,SPHC,SAPH COTE D'IVOIRE,41,7 800,7 785,"-0,57"
2025-12-17 14:16:58.297053,STAC,SETAO COTE D'IVOIRE,4 599,1 075,1 065,"0,00"
2025-12-17 14:16:58.297070,STBC,SITAB COTE D'IVOIRE,1 134,19 700,19 600,"-0,25"
2025-12-17 14:16:58.297103,TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,1 000,2 360,2 360,"-0,42"
2025-12-17 14:16:58.297119,TTLS,TOTALENERGIES MARKETING SENEGAL,2 449,2 510,2 490,"-0,80"
2025-12-17 14:16:58.297135,UNLC,UNILEVER COTE D'IVOIRE,0,0,40 000,"0,00"
2025-12-17 14:16:58.297154,UNXC,UNIWAX COTE D'IVOIRE,4 980,1 430,1 425,"0,00"
