Date,Symbole,Nom,Volume,Cours ouverture,Cours Cloture,Variation
2026-03-11 10:33:01.877997,ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,1 304,3 360,3 395,"-0,15"
2026-03-11 10:33:01.878038,BICB,BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN,42,5 205,5 205,"0,10"
2026-03-11 10:33:01.878064,BICC,BICI COTE D'IVOIRE,1 088,27 630,25 800,"0,37"
2026-03-11 10:33:01.878084,BNBC,BERNABE COTE D'IVOIRE,229,1 600,1 600,"0,00"
2026-03-11 10:33:01.878107,BOAB,BANK OF AFRICA BENIN,2 380,8 000,7 800,"-2,50"
2026-03-11 10:33:01.878148,BOABF,BANK OF AFRICA BURKINA FASO,7 388,5 200,5 200,"0,00"
2026-03-11 10:33:01.878170,BOAC,BANK OF AFRICA COTE D'IVOIRE,2 238,9 000,8 750,"0,57"
2026-03-11 10:33:01.878189,BOAM,BANK OF AFRICA MALI,927,4 705,4 725,"0,43"
2026-03-11 10:33:01.878206,BOAN,BANK OF AFRICA NIGER,716,2 995,2 985,"0,00"
2026-03-11 10:33:01.878225,BOAS,BANK OF AFRICA SENEGAL,478,7 000,6 950,"-0,71"
2026-03-11 10:33:01.878242,CABC,SICABLE COTE D'IVOIRE,1 912,3 565,3 565,"-7,40"
2026-03-11 10:33:01.878260,CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,117,14 000,14 100,"0,71"
2026-03-11 10:33:01.878278,CFAC,CFAO MOTORS COTE D'IVOIRE,716,1 775,1 770,"-0,28"
2026-03-11 10:33:01.878303,CIEC,CIE COTE D'IVOIRE,852,3 300,3 325,"0,76"
2026-03-11 10:33:01.878342,ECOC,ECOBANK COTE D'IVOIRE,42,16 400,16 400,"0,00"
2026-03-11 10:33:01.878375,ETIT,Ecobank Transnational Incorporated TOGO,795 569,31,32,"0,00"
2026-03-11 10:33:01.878408,FTSC,FILTISAC COTE D'IVOIRE,2 592,2 450,2 410,"0,00"
2026-03-11 10:33:01.878441,LNBB,LOTERIE NATIONALE DU BENIN,663,3 900,3 900,"0,00"
2026-03-11 10:33:01.878477,NEIC,NEI-CEDA COTE D'IVOIRE,2 228,1 330,1 420,"-0,35"
2026-03-11 10:33:01.878508,NSBC,NSIA BANQUE COTE D'IVOIRE,405,13 995,13 995,"-0,04"
2026-03-11 10:33:01.878537,NTLC,NESTLE COTE D'IVOIRE,53,13 000,13 000,"0,00"
2026-03-11 10:33:01.878568,ONTBF,ONATEL BURKINA FASO,531,2 975,3 000,"-0,66"
2026-03-11 10:33:01.878598,ORAC,ORANGE COTE D'IVOIRE,64,15 505,15 550,"1,63"
2026-03-11 10:33:01.878628,ORGT,ORAGROUP TOGO,1 591,3 855,3 855,"2,12"
2026-03-11 10:33:01.878659,PALC,PALM COTE D'IVOIRE,1 265,9 410,9 410,"0,05"
2026-03-11 10:33:01.878690,PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,1 030,5 850,5 600,"1,82"
2026-03-11 10:33:01.878720,SAFC,SAFCA COTE D'IVOIRE,1 798,6 095,6 100,"0,00"
2026-03-11 10:33:01.878752,SCRC,SUCRIVOIRE COTE D'IVOIRE,1 898,1 505,1 490,"-1,00"
2026-03-11 10:33:01.878782,SDCC,SODE COTE D'IVOIRE,81,7 760,7 760,"0,00"
2026-03-11 10:33:01.878815,SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,4 676,2 100,2 050,"-1,44"
2026-03-11 10:33:01.878838,SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,1 401,2 130,2 130,"-0,23"
2026-03-11 10:33:01.878855,SGBC,SOCIETE GENERALE COTE D'IVOIRE,557,35 000,34 900,"-0,29"
2026-03-11 10:33:01.878875,SHEC,VIVO ENERGY COTE D'IVOIRE,696,2 290,2 230,"-0,89"
2026-03-11 10:33:01.878891,SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,463,7 100,7 140,"0,56"
2026-03-11 10:33:01.878907,SICC,SICOR COTE D'IVOIRE,41,4 100,4 100,"0,00"
2026-03-11 10:33:01.878923,SIVC,ERIUM COTE D’IVOIRE,1 016,2 835,2 655,"-6,35"
2026-03-11 10:33:01.878939,SLBC,SOLIBRA COTE D'IVOIRE,235,40 700,40 005,"2,54"
2026-03-11 10:33:01.878954,SMBC,SMB COTE D'IVOIRE,49,13 400,13 400,"0,00"
2026-03-11 10:33:01.878971,SNTS,SONATEL SENEGAL,1 093,29 100,29 000,"0,00"
2026-03-11 10:33:01.878987,SOGC,SOGB COTE D'IVOIRE,1 151,8 900,8 810,"0,00"
2026-03-11 10:33:01.879003,SPHC,SAPH COTE D'IVOIRE,470,8 350,8 305,"0,06"
2026-03-11 10:33:01.879022,STAC,SETAO COTE D'IVOIRE,2 461,2 350,2 350,"7,31"
2026-03-11 10:33:01.879039,STBC,SITAB COTE D'IVOIRE,533,22 000,21 700,"0,46"
2026-03-11 10:33:01.879055,TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,7 363,2 855,2 850,"0,00"
2026-03-11 10:33:01.879070,TTLS,TOTALENERGIES MARKETING SENEGAL,4 263,3 280,3 285,"1,70"
2026-03-11 10:33:01.879086,UNLC,UNILEVER COTE D'IVOIRE,8,72 000,72 000,"0,00"
2026-03-11 10:33:01.879104,UNXC,UNIWAX COTE D'IVOIRE,3 771,2 100,2 010,"-4,29"
