Date,Symbole,Nom,Volume,Cours ouverture,Cours Cloture,Variation
2026-02-24 10:41:25.263385,ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,1 932,3 505,3 600,"-1,37"
2026-02-24 10:41:25.263428,BICB,BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN,192,5 100,5 190,"1,76"
2026-02-24 10:41:25.263457,BICC,BICI COTE D'IVOIRE,195,23 995,24 000,"0,00"
2026-02-24 10:41:25.263479,BNBC,BERNABE COTE D'IVOIRE,1 525,1 570,1 570,"-0,32"
2026-02-24 10:41:25.263499,BOAB,BANK OF AFRICA BENIN,266,6 850,6 850,"0,00"
2026-02-24 10:41:25.263519,BOABF,BANK OF AFRICA BURKINA FASO,1 027,4 650,4 645,"0,43"
2026-02-24 10:41:25.263537,BOAC,BANK OF AFRICA COTE D'IVOIRE,2 312,7 820,7 820,"0,00"
2026-02-24 10:41:25.263554,BOAM,BANK OF AFRICA MALI,1 490,4 470,4 470,"-0,11"
2026-02-24 10:41:25.263571,BOAN,BANK OF AFRICA NIGER,233,2 615,2 620,"0,19"
2026-02-24 10:41:25.263589,BOAS,BANK OF AFRICA SENEGAL,2 663,6 300,6 100,"-3,17"
2026-02-24 10:41:25.263606,CABC,SICABLE COTE D'IVOIRE,517,3 500,3 500,"0,00"
2026-02-24 10:41:25.263623,CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,60,13 500,13 770,"6,74"
2026-02-24 10:41:25.263641,CFAC,CFAO MOTORS COTE D'IVOIRE,3 568,1 680,1 680,"0,30"
2026-02-24 10:41:25.263658,CIEC,CIE COTE D'IVOIRE,4 080,2 950,2 940,"-0,34"
2026-02-24 10:41:25.263675,ECOC,ECOBANK COTE D'IVOIRE,82,16 700,16 650,"-0,30"
2026-02-24 10:41:25.263694,ETIT,Ecobank Transnational Incorporated TOGO,277 515,33,32,"0,00"
2026-02-24 10:41:25.263711,FTSC,FILTISAC COTE D'IVOIRE,1 209,2 285,2 285,"0,00"
2026-02-24 10:41:25.263728,LNBB,LOTERIE NATIONALE DU BENIN,58,3 875,3 870,"-0,13"
2026-02-24 10:41:25.263744,NEIC,NEI-CEDA COTE D'IVOIRE,612,1 480,1 480,"0,00"
2026-02-24 10:41:25.263760,NSBC,NSIA BANQUE COTE D'IVOIRE,413,14 795,14 800,"0,03"
2026-02-24 10:41:25.263776,NTLC,NESTLE COTE D'IVOIRE,124,12 985,12 980,"-0,04"
2026-02-24 10:41:25.263809,ONTBF,ONATEL BURKINA FASO,790,2 800,2 795,"3,52"
2026-02-24 10:41:25.263828,ORAC,ORANGE COTE D'IVOIRE,30,15 205,15 205,"0,03"
2026-02-24 10:41:25.263847,ORGT,ORAGROUP TOGO,968,3 110,3 150,"1,61"
2026-02-24 10:41:25.263866,PALC,PALM COTE D'IVOIRE,505,9 000,9 000,"-0,06"
2026-02-24 10:41:25.263883,PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,124,4 650,4 640,"0,00"
2026-02-24 10:41:25.263901,SAFC,SAFCA COTE D'IVOIRE,6 316,5 735,5 335,"0,00"
2026-02-24 10:41:25.263918,SCRC,SUCRIVOIRE COTE D'IVOIRE,2 203,1 485,1 500,"1,01"
2026-02-24 10:41:25.263934,SDCC,SODE COTE D'IVOIRE,9,6 405,6 405,"6,66"
2026-02-24 10:41:25.263953,SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,4 038,2 230,2 320,"4,04"
2026-02-24 10:41:25.263970,SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,8 840,2 465,2 550,"3,87"
2026-02-24 10:41:25.263988,SGBC,SOCIETE GENERALE COTE D'IVOIRE,100,34 000,34 500,"1,49"
2026-02-24 10:41:25.264004,SHEC,VIVO ENERGY COTE D'IVOIRE,2 167,1 880,1 880,"0,00"
2026-02-24 10:41:25.264021,SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,1 531,6 800,6 795,"-0,07"
2026-02-24 10:41:25.264037,SICC,SICOR COTE D'IVOIRE,42,4 195,4 195,"7,43"
2026-02-24 10:41:25.264053,SIVC,ERIUM COTE D’IVOIRE,913,2 850,2 905,"1,93"
2026-02-24 10:41:25.264070,SLBC,SOLIBRA COTE D'IVOIRE,27,36 455,36 000,"1,29"
2026-02-24 10:41:25.264086,SMBC,SMB COTE D'IVOIRE,40,14 000,14 000,"0,00"
2026-02-24 10:41:25.264102,SNTS,SONATEL SENEGAL,934,29 000,28 830,"-1,27"
2026-02-24 10:41:25.264119,SOGC,SOGB COTE D'IVOIRE,2 793,8 495,8 500,"0,00"
2026-02-24 10:41:25.264135,SPHC,SAPH COTE D'IVOIRE,3 923,7 980,8 000,"0,13"
2026-02-24 10:41:25.264151,STAC,SETAO COTE D'IVOIRE,1 678,1 990,1 995,"0,25"
2026-02-24 10:41:25.264168,STBC,SITAB COTE D'IVOIRE,289,21 495,21 450,"-0,21"
2026-02-24 10:41:25.264183,TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,983,2 725,2 725,"0,00"
2026-02-24 10:41:25.264202,TTLS,TOTALENERGIES MARKETING SENEGAL,2 259,2 850,2 850,"0,00"
2026-02-24 10:41:25.264218,UNLC,UNILEVER COTE D'IVOIRE,31,74 000,74 910,"0,00"
2026-02-24 10:41:25.264234,UNXC,UNIWAX COTE D'IVOIRE,3 583,2 340,2 375,"1,28"
