Date,Symbole,Nom,Volume,Cours ouverture,Cours Cloture,Variation
2026-08-31 10:20:58.385074,ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,876,3 690,3 690,"0,00"
2026-08-31 10:20:58.385136,BICB,BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN,5 733,8 500,8 650,"1,76"
2026-08-31 10:20:58.385161,BICC,BICI COTE D'IVOIRE,65,29 500,29 500,"0,00"
2026-08-31 10:20:58.385185,BNBC,BERNABE COTE D'IVOIRE,349,2 265,2 265,"-1,52"
2026-08-31 10:20:58.385203,BOAB,BANK OF AFRICA BENIN,395,10 235,10 235,"0,00"
2026-08-31 10:20:58.385222,BOABF,BANK OF AFRICA BURKINA FASO,827,8 900,8 900,"0,00"
2026-08-31 10:20:58.385240,BOAC,BANK OF AFRICA COTE D'IVOIRE,1 204,12 400,12 200,"-1,61"
2026-08-31 10:20:58.385257,BOAM,BANK OF AFRICA MALI,518,6 490,6 445,"-0,77"
2026-08-31 10:20:58.385273,BOAN,BANK OF AFRICA NIGER,1 607,5 405,5 350,"-2,73"
2026-08-31 10:20:58.385291,BOAS,BANK OF AFRICA SENEGAL,6 562,8 300,8 300,"0,00"
2026-08-31 10:20:58.385307,CABC,SICABLE COTE D'IVOIRE,265,3 600,3 500,"0,14"
2026-08-31 10:20:58.385324,CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,32,29 600,29 600,"0,00"
2026-08-31 10:20:58.385345,CFAC,CFAO MOTORS COTE D'IVOIRE,589,1 740,1 740,"0,00"
2026-08-31 10:20:58.385362,CIEC,CIE COTE D'IVOIRE,1 463,6 700,6 690,"-0,15"
2026-08-31 10:20:58.385379,ECOC,ECOBANK COTE D'IVOIRE,519,16 840,16 845,"0,00"
2026-08-31 10:20:58.385396,ETIT,Ecobank Transnational Incorporated TOGO,177 711,65,67,"3,08"
2026-08-31 10:20:58.385412,FTSC,FILTISAC COTE D'IVOIRE,705,2 130,2 160,"0,00"
2026-08-31 10:20:58.385429,LNBB,LOTERIE NATIONALE DU BENIN,46,4 080,4 075,"1,88"
2026-08-31 10:20:58.385449,NEIC,NEI-CEDA COTE D'IVOIRE,852,3 000,2 985,"-0,50"
2026-08-31 10:20:58.385466,NSBC,NSIA BANQUE COTE D'IVOIRE,236,22 500,22 595,"0,42"
2026-08-31 10:20:58.385483,NTLC,NESTLE COTE D'IVOIRE,43,15 915,17 000,"6,92"
2026-08-31 10:20:58.385500,ONTBF,ONATEL BURKINA FASO,2 251,2 900,2 890,"-0,34"
2026-08-31 10:20:58.385517,ORAC,ORANGE COTE D'IVOIRE,253,21 400,21 300,"-0,47"
2026-08-31 10:20:58.385535,ORGT,ORAGROUP TOGO,857,3 160,3 165,"0,32"
2026-08-31 10:20:58.385552,PALC,PALM COTE D'IVOIRE,256,9 400,9 240,"-1,70"
2026-08-31 10:20:58.385569,PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,10,4 500,4 490,"0,00"
2026-08-31 10:20:58.385585,SAFC,SAFCA COTE D'IVOIRE,530,5 850,5 850,"-0,26"
2026-08-31 10:20:58.385605,SCRC,SUCRIVOIRE COTE D'IVOIRE,1 852,3 375,3 400,"0,74"
2026-08-31 10:20:58.385621,SDCC,SODE COTE D'IVOIRE,450,13 000,12 990,"-0,08"
2026-08-31 10:20:58.385636,SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,3 663,2 750,2 730,"-0,73"
2026-08-31 10:20:58.385652,SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,404,1 505,1 525,"1,67"
2026-08-31 10:20:58.385669,SGBC,SOCIETE GENERALE COTE D'IVOIRE,669,38 000,38 000,"0,00"
2026-08-31 10:20:58.385685,SHEC,VIVO ENERGY COTE D'IVOIRE,1 709,2 440,2 430,"-0,41"
2026-08-31 10:20:58.385701,SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,1 801,9 200,9 100,"-1,09"
2026-08-31 10:20:58.385717,SICC,SICOR COTE D'IVOIRE,34,8 000,7 995,"0,00"
2026-08-31 10:20:58.385733,SIVC,ERIUM COTE D’IVOIRE,437,2 310,2 320,"0,43"
2026-08-31 10:20:58.385749,SLBC,SOLIBRA COTE D'IVOIRE,27,38 000,37 500,"1,35"
2026-08-31 10:20:58.385765,SMBC,SMB COTE D'IVOIRE,610,17 195,17 195,"0,00"
2026-08-31 10:20:58.385781,SNTS,SONATEL SENEGAL,1 577,36 700,36 750,"0,14"
2026-08-31 10:20:58.385797,SOGC,SOGB COTE D'IVOIRE,527,8 200,8 215,"0,18"
2026-08-31 10:20:58.385813,SPHC,SAPH COTE D'IVOIRE,905,9 500,9 595,"1,00"
2026-08-31 10:20:58.385832,STAC,SETAO COTE D'IVOIRE,856,2 595,2 600,"0,19"
2026-08-31 10:20:58.385849,STBC,SITAB COTE D'IVOIRE,309,22 350,22 350,"0,00"
2026-08-31 10:20:58.385864,TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,1 459,3 400,3 450,"1,47"
2026-08-31 10:20:58.385881,TTLS,TOTALENERGIES MARKETING SENEGAL,539,3 795,3 795,"0,00"
2026-08-31 10:20:58.385896,UNLC,UNILEVER COTE D'IVOIRE,0,0,52 200,"0,00"
2026-08-31 10:20:58.385912,UNXC,UNIWAX COTE D'IVOIRE,755,2 405,2 450,"-0,20"
