Date,Symbole,Nom,Volume,Cours ouverture,Cours Cloture,Variation
2026-06-25 14:12:03.804829,ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,2 982,3 305,3 305,"0,00"
2026-06-25 14:12:03.804869,BICB,BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN,11 230,5 795,5 700,"-1,55"
2026-06-25 14:12:03.804892,BICC,BICI COTE D'IVOIRE,336,27 800,28 900,"4,11"
2026-06-25 14:12:03.804911,BNBC,BERNABE COTE D'IVOIRE,637,1 985,1 990,"1,27"
2026-06-25 14:12:03.804930,BOAB,BANK OF AFRICA BENIN,3 810,8 950,8 950,"0,00"
2026-06-25 14:12:03.804949,BOABF,BANK OF AFRICA BURKINA FASO,5 354,5 600,5 600,"0,00"
2026-06-25 14:12:03.804967,BOAC,BANK OF AFRICA COTE D'IVOIRE,16 615,9 155,9 200,"1,10"
2026-06-25 14:12:03.804984,BOAM,BANK OF AFRICA MALI,10 068,5 110,5 110,"7,47"
2026-06-25 14:12:03.805001,BOAN,BANK OF AFRICA NIGER,9 079,4 185,4 045,"-3,23"
2026-06-25 14:12:03.805019,BOAS,BANK OF AFRICA SENEGAL,7 290,7 300,7 350,"0,68"
2026-06-25 14:12:03.805035,CABC,SICABLE COTE D'IVOIRE,712,4 000,3 805,"-4,88"
2026-06-25 14:12:03.805056,CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,855,21 800,21 995,"0,96"
2026-06-25 14:12:03.805075,CFAC,CFAO MOTORS COTE D'IVOIRE,1 408,1 560,1 665,"7,42"
2026-06-25 14:12:03.805096,CIEC,CIE COTE D'IVOIRE,5 271,5 100,5 190,"1,76"
2026-06-25 14:12:03.805112,ECOC,ECOBANK COTE D'IVOIRE,234,16 500,16 800,"1,82"
2026-06-25 14:12:03.805129,ETIT,Ecobank Transnational Incorporated TOGO,868 700,38,38,"2,70"
2026-06-25 14:12:03.805145,FTSC,FILTISAC COTE D'IVOIRE,8 467,1 950,1 955,"0,00"
2026-06-25 14:12:03.805162,LNBB,LOTERIE NATIONALE DU BENIN,11 448,4 100,4 200,"5,00"
2026-06-25 14:12:03.805181,NEIC,NEI-CEDA COTE D'IVOIRE,5 726,2 300,2 400,"4,35"
2026-06-25 14:12:03.805197,NSBC,NSIA BANQUE COTE D'IVOIRE,677,19 400,19 500,"0,52"
2026-06-25 14:12:03.805217,NTLC,NESTLE COTE D'IVOIRE,725,15 000,14 995,"-0,03"
2026-06-25 14:12:03.805234,ONTBF,ONATEL BURKINA FASO,4 501,2 800,2 800,"0,00"
2026-06-25 14:12:03.805251,ORAC,ORANGE COTE D'IVOIRE,1 249,16 145,16 695,"3,41"
2026-06-25 14:12:03.805268,ORGT,ORAGROUP TOGO,3 289,2 620,2 625,"-0,57"
2026-06-25 14:12:03.805285,PALC,PALM COTE D'IVOIRE,1 810,8 730,8 740,"0,00"
2026-06-25 14:12:03.805323,PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,410,4 600,4 620,"0,43"
2026-06-25 14:12:03.805341,SAFC,SAFCA COTE D'IVOIRE,7 243,4 700,4 480,"-4,68"
2026-06-25 14:12:03.805362,SCRC,SUCRIVOIRE COTE D'IVOIRE,6 868,3 190,3 105,"0,49"
2026-06-25 14:12:03.805379,SDCC,SODE COTE D'IVOIRE,365,11 900,12 000,"-0,99"
2026-06-25 14:12:03.805395,SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,15 326,2 450,2 500,"2,04"
2026-06-25 14:12:03.805412,SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,1 561,1 540,1 550,"-0,32"
2026-06-25 14:12:03.805428,SGBC,SOCIETE GENERALE COTE D'IVOIRE,2 203,38 900,38 995,"0,31"
2026-06-25 14:12:03.805444,SHEC,VIVO ENERGY COTE D'IVOIRE,2 288,2 160,2 165,"0,23"
2026-06-25 14:12:03.805460,SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,5 189,8 800,8 895,"0,57"
2026-06-25 14:12:03.805477,SICC,SICOR COTE D'IVOIRE,292,4 600,4 500,"0,00"
2026-06-25 14:12:03.805493,SIVC,ERIUM COTE D’IVOIRE,5 684,2 730,2 650,"-2,93"
2026-06-25 14:12:03.805509,SLBC,SOLIBRA COTE D'IVOIRE,260,38 495,38 500,"0,01"
2026-06-25 14:12:03.805524,SMBC,SMB COTE D'IVOIRE,343,16 300,16 500,"0,00"
2026-06-25 14:12:03.805541,SNTS,SONATEL SENEGAL,1 427,28 990,28 600,"0,30"
2026-06-25 14:12:03.805557,SOGC,SOGB COTE D'IVOIRE,3 936,8 285,8 300,"0,24"
2026-06-25 14:12:03.805573,SPHC,SAPH COTE D'IVOIRE,1 894,7 510,7 600,"-0,59"
2026-06-25 14:12:03.805589,STAC,SETAO COTE D'IVOIRE,1 577,3 645,3 635,"-0,14"
2026-06-25 14:12:03.805608,STBC,SITAB COTE D'IVOIRE,347,22 300,22 300,"0,00"
2026-06-25 14:12:03.805624,TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,5 801,2 855,2 775,"-2,80"
2026-06-25 14:12:03.805640,TTLS,TOTALENERGIES MARKETING SENEGAL,1 704,3 450,3 455,"0,14"
2026-06-25 14:12:03.805656,UNLC,UNILEVER COTE D'IVOIRE,0,0,57 000,"0,00"
2026-06-25 14:12:03.805672,UNXC,UNIWAX COTE D'IVOIRE,6 992,1 965,1 975,"0,51"
