Date,Symbole,Nom,Volume,Cours ouverture,Cours Cloture,Variation
2026-02-18 04:15:42.658514,ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,8 475,3 050,3 060,"0,33"
2026-02-18 04:15:42.658553,BICB,BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN,1 496,5 000,4 995,"0,00"
2026-02-18 04:15:42.658582,BICC,BICI COTE D'IVOIRE,350,20 050,20 100,"0,25"
2026-02-18 04:15:42.658604,BNBC,BERNABE COTE D'IVOIRE,2 156,1 500,1 500,"-0,66"
2026-02-18 04:15:42.658623,BOAB,BANK OF AFRICA BENIN,4 433,6 900,6 890,"-0,14"
2026-02-18 04:15:42.658642,BOABF,BANK OF AFRICA BURKINA FASO,1 327,4 550,4 560,"0,22"
2026-02-18 04:15:42.658659,BOAC,BANK OF AFRICA COTE D'IVOIRE,15 201,7 550,7 500,"-1,32"
2026-02-18 04:15:42.658675,BOAM,BANK OF AFRICA MALI,1 930,4 350,4 360,"0,23"
2026-02-18 04:15:42.658692,BOAN,BANK OF AFRICA NIGER,6 505,2 505,2 595,"1,96"
2026-02-18 04:15:42.658710,BOAS,BANK OF AFRICA SENEGAL,1 192,6 000,6 000,"0,00"
2026-02-18 04:15:42.658728,CABC,SICABLE COTE D'IVOIRE,5 491,3 060,3 160,"-0,32"
2026-02-18 04:15:42.658746,CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,2 821,12 800,12 700,"-1,55"
2026-02-18 04:15:42.658763,CFAC,CFAO MOTORS COTE D'IVOIRE,4 854,1 560,1 565,"0,32"
2026-02-18 04:15:42.658779,CIEC,CIE COTE D'IVOIRE,2 857,2 700,2 770,"2,59"
2026-02-18 04:15:42.658795,ECOC,ECOBANK COTE D'IVOIRE,1 836,16 005,16 200,"1,25"
2026-02-18 04:15:42.658811,ETIT,Ecobank Transnational Incorporated TOGO,5 509 378,33,33,"6,45"
2026-02-18 04:15:42.658830,FTSC,FILTISAC COTE D'IVOIRE,2 847,2 245,2 290,"2,00"
2026-02-18 04:15:42.658846,LNBB,LOTERIE NATIONALE DU BENIN,252,3 895,3 890,"-0,13"
2026-02-18 04:15:42.658862,NEIC,NEI-CEDA COTE D'IVOIRE,7 611,1 300,1 390,"6,92"
2026-02-18 04:15:42.658881,NSBC,NSIA BANQUE COTE D'IVOIRE,1 548,13 900,13 980,"0,00"
2026-02-18 04:15:42.658897,NTLC,NESTLE COTE D'IVOIRE,419,11 995,11 900,"0,46"
2026-02-18 04:15:42.658914,ONTBF,ONATEL BURKINA FASO,6 334,2 685,2 700,"0,56"
2026-02-18 04:15:42.658930,ORAC,ORANGE COTE D'IVOIRE,4 754,15 150,15 155,"0,03"
2026-02-18 04:15:42.658946,ORGT,ORAGROUP TOGO,1 578,3 025,3 060,"1,32"
2026-02-18 04:15:42.658962,PALC,PALM COTE D'IVOIRE,3 046,9 000,8 995,"-0,06"
2026-02-18 04:15:42.658978,PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,1 253,4 375,4 500,"2,86"
2026-02-18 04:15:42.658995,SAFC,SAFCA COTE D'IVOIRE,2 303,4 000,4 005,"1,65"
2026-02-18 04:15:42.659011,SCRC,SUCRIVOIRE COTE D'IVOIRE,10 588,1 535,1 650,"7,49"
2026-02-18 04:15:42.659027,SDCC,SODE COTE D'IVOIRE,403,6 295,6 290,"-0,16"
2026-02-18 04:15:42.659066,SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,18 198,1 810,1 900,"5,56"
2026-02-18 04:15:42.659112,SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,18 952,2 320,2 320,"7,41"
2026-02-18 04:15:42.659132,SGBC,SOCIETE GENERALE COTE D'IVOIRE,1 691,31 995,31 900,"-0,30"
2026-02-18 04:15:42.659149,SHEC,VIVO ENERGY COTE D'IVOIRE,3 116,1 730,1 725,"-0,29"
2026-02-18 04:15:42.659166,SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,9 019,6 830,6 835,"0,07"
2026-02-18 04:15:42.659184,SICC,SICOR COTE D'IVOIRE,248,4 190,4 180,"-0,24"
2026-02-18 04:15:42.659204,SIVC,ERIUM COTE D’IVOIRE,7 148,2 570,2 740,"7,45"
2026-02-18 04:15:42.659220,SLBC,SOLIBRA COTE D'IVOIRE,869,32 495,32 495,"4,72"
2026-02-18 04:15:42.659236,SMBC,SMB COTE D'IVOIRE,64,12 730,11 930,"-6,36"
2026-02-18 04:15:42.659252,SNTS,SONATEL SENEGAL,6 841,27 875,27 995,"0,43"
2026-02-18 04:15:42.659268,SOGC,SOGB COTE D'IVOIRE,1 924,8 345,8 465,"1,99"
2026-02-18 04:15:42.659284,SPHC,SAPH COTE D'IVOIRE,46 654,7 700,7 700,"0,00"
2026-02-18 04:15:42.659299,STAC,SETAO COTE D'IVOIRE,757,1 625,1 645,"1,23"
2026-02-18 04:15:42.659315,STBC,SITAB COTE D'IVOIRE,929,20 450,20 600,"-1,90"
2026-02-18 04:15:42.659331,TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,3 324,2 455,2 495,"1,84"
2026-02-18 04:15:42.659349,TTLS,TOTALENERGIES MARKETING SENEGAL,1 923,2 755,2 755,"0,18"
2026-02-18 04:15:42.659364,UNLC,UNILEVER COTE D'IVOIRE,44,82 000,85 495,"-0,01"
2026-02-18 04:15:42.659379,UNXC,UNIWAX COTE D'IVOIRE,34 510,2 250,2 300,"2,68"
