Date,Symbole,Nom,Volume,Cours ouverture,Cours Cloture,Variation
2026-01-12 10:20:08.709660,ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,222,2 750,2 730,"-0,36"
2026-01-12 10:20:08.709699,BICB,BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN,15,4 940,4 945,"-0,10"
2026-01-12 10:20:08.709727,BICC,BICI COTE D'IVOIRE,33,19 230,19 240,"-0,05"
2026-01-12 10:20:08.709747,BNBC,BERNABE COTE D'IVOIRE,60,1 305,1 305,"-5,43"
2026-01-12 10:20:08.709768,BOAB,BANK OF AFRICA BENIN,33,5 965,5 965,"0,25"
2026-01-12 10:20:08.709787,BOABF,BANK OF AFRICA BURKINA FASO,964,4 100,4 100,"0,00"
2026-01-12 10:20:08.709804,BOAC,BANK OF AFRICA COTE D'IVOIRE,399,7 190,7 190,"0,00"
2026-01-12 10:20:08.709821,BOAM,BANK OF AFRICA MALI,755,4 000,4 000,"2,56"
2026-01-12 10:20:08.709838,BOAN,BANK OF AFRICA NIGER,452,2 640,2 650,"1,73"
2026-01-12 10:20:08.709856,BOAS,BANK OF AFRICA SENEGAL,613,5 240,5 240,"0,00"
2026-01-12 10:20:08.709873,CABC,SICABLE COTE D'IVOIRE,85,2 445,2 445,"0,00"
2026-01-12 10:20:08.709890,CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,122,10 950,11 010,"0,00"
2026-01-12 10:20:08.709908,CFAC,CFAO MOTORS COTE D'IVOIRE,113,1 345,1 340,"-0,37"
2026-01-12 10:20:08.709924,CIEC,CIE COTE D'IVOIRE,976,2 445,2 445,"1,88"
2026-01-12 10:20:08.709941,ECOC,ECOBANK COTE D'IVOIRE,136,16 495,16 495,"0,00"
2026-01-12 10:20:08.709957,ETIT,Ecobank Transnational Incorporated TOGO,38 306,23,23,"4,55"
2026-01-12 10:20:08.709976,FTSC,FILTISAC COTE D'IVOIRE,1 669,2 155,2 150,"-0,23"
2026-01-12 10:20:08.709996,LNBB,LOTERIE NATIONALE DU BENIN,0,0,4 130,"0,00"
2026-01-12 10:20:08.710016,NEIC,NEI-CEDA COTE D'IVOIRE,207,1 200,1 200,"4,35"
2026-01-12 10:20:08.710032,NSBC,NSIA BANQUE COTE D'IVOIRE,122,11 450,11 450,"1,78"
2026-01-12 10:20:08.710048,NTLC,NESTLE COTE D'IVOIRE,55,10 995,10 995,"0,14"
2026-01-12 10:20:08.710065,ONTBF,ONATEL BURKINA FASO,411,2 450,2 450,"1,45"
2026-01-12 10:20:08.710082,ORAC,ORANGE COTE D'IVOIRE,196,14 130,14 125,"-0,07"
2026-01-12 10:20:08.710097,ORGT,ORAGROUP TOGO,195,2 620,2 625,"0,19"
2026-01-12 10:20:08.710114,PALC,PALM COTE D'IVOIRE,163,7 950,7 950,"-0,13"
2026-01-12 10:20:08.710144,PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,1,3 745,3 745,"0,00"
2026-01-12 10:20:08.710164,SAFC,SAFCA COTE D'IVOIRE,8,3 300,3 300,"1,54"
2026-01-12 10:20:08.710182,SCRC,SUCRIVOIRE COTE D'IVOIRE,238,1 045,1 045,"-0,48"
2026-01-12 10:20:08.710198,SDCC,SODE COTE D'IVOIRE,19,5 795,5 795,"0,00"
2026-01-12 10:20:08.710214,SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,330,1 495,1 495,"0,34"
2026-01-12 10:20:08.710233,SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,5 205,1 135,1 135,"7,08"
2026-01-12 10:20:08.710250,SGBC,SOCIETE GENERALE COTE D'IVOIRE,5,29 380,29 380,"6,84"
2026-01-12 10:20:08.710272,SHEC,VIVO ENERGY COTE D'IVOIRE,648,1 540,1 545,"0,00"
2026-01-12 10:20:08.710288,SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,67,5 810,5 850,"0,86"
2026-01-12 10:20:08.710305,SICC,SICOR COTE D'IVOIRE,0,0,3 700,"0,00"
2026-01-12 10:20:08.710322,SIVC,ERIUM COTE D’IVOIRE,431,1 660,1 650,"-0,60"
2026-01-12 10:20:08.710338,SLBC,SOLIBRA COTE D'IVOIRE,2,28 850,28 850,"4,53"
2026-01-12 10:20:08.710353,SMBC,SMB COTE D'IVOIRE,53,9 300,9 300,"2,20"
2026-01-12 10:20:08.710369,SNTS,SONATEL SENEGAL,49,25 995,25 995,"1,94"
2026-01-12 10:20:08.710386,SOGC,SOGB COTE D'IVOIRE,171,7 785,7 785,"0,00"
2026-01-12 10:20:08.710402,SPHC,SAPH COTE D'IVOIRE,25,7 400,7 400,"-2,50"
2026-01-12 10:20:08.710418,STAC,SETAO COTE D'IVOIRE,20,1 200,1 200,"7,14"
2026-01-12 10:20:08.710433,STBC,SITAB COTE D'IVOIRE,343,19 675,19 675,"0,00"
2026-01-12 10:20:08.710449,TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,720,2 395,2 395,"1,91"
2026-01-12 10:20:08.710465,TTLS,TOTALENERGIES MARKETING SENEGAL,51,2 530,2 530,"0,00"
2026-01-12 10:20:08.710481,UNLC,UNILEVER COTE D'IVOIRE,0,0,35 000,"0,00"
2026-01-12 10:20:08.710499,UNXC,UNIWAX COTE D'IVOIRE,292,1 395,1 395,"0,00"
