Date,Symbole,Nom,Volume,Cours ouverture,Cours Cloture,Variation
2026-02-25 18:57:24.194496,ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,7 896,3 520,3 650,"3,69"
2026-02-25 18:57:24.194538,BICB,BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN,2 577,5 150,5 200,"1,76"
2026-02-25 18:57:24.194563,BICC,BICI COTE D'IVOIRE,1 351,24 995,24 625,"2,60"
2026-02-25 18:57:24.194596,BNBC,BERNABE COTE D'IVOIRE,6 309,1 580,1 565,"-0,95"
2026-02-25 18:57:24.194615,BOAB,BANK OF AFRICA BENIN,15 892,6 885,6 890,"0,00"
2026-02-25 18:57:24.194655,BOABF,BANK OF AFRICA BURKINA FASO,5 825,4 660,4 700,"0,86"
2026-02-25 18:57:24.194674,BOAC,BANK OF AFRICA COTE D'IVOIRE,30 278,7 810,7 900,"0,96"
2026-02-25 18:57:24.194692,BOAM,BANK OF AFRICA MALI,9 516,4 475,4 520,"1,12"
2026-02-25 18:57:24.194710,BOAN,BANK OF AFRICA NIGER,12 801,2 700,2 840,"5,58"
2026-02-25 18:57:24.194736,BOAS,BANK OF AFRICA SENEGAL,2 411,6 295,6 400,"1,59"
2026-02-25 18:57:24.194754,CABC,SICABLE COTE D'IVOIRE,2 572,3 510,3 770,"7,41"
2026-02-25 18:57:24.194772,CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,3 240,13 880,13 845,"7,08"
2026-02-25 18:57:24.194790,CFAC,CFAO MOTORS COTE D'IVOIRE,7 539,1 700,1 750,"3,24"
2026-02-25 18:57:24.194807,CIEC,CIE COTE D'IVOIRE,28 696,2 840,2 950,"0,34"
2026-02-25 18:57:24.194824,ECOC,ECOBANK COTE D'IVOIRE,39 415,16 700,16 700,"0,00"
2026-02-25 18:57:24.194841,ETIT,Ecobank Transnational Incorporated TOGO,1 991 556,32,31,"-3,12"
2026-02-25 18:57:24.194861,FTSC,FILTISAC COTE D'IVOIRE,6 416,2 250,2 280,"0,44"
2026-02-25 18:57:24.194878,LNBB,LOTERIE NATIONALE DU BENIN,817,3 895,3 895,"2,23"
2026-02-25 18:57:24.194895,NEIC,NEI-CEDA COTE D'IVOIRE,4 323,1 490,1 460,"-1,68"
2026-02-25 18:57:24.194912,NSBC,NSIA BANQUE COTE D'IVOIRE,1 462,14 795,14 700,"-0,64"
2026-02-25 18:57:24.194928,NTLC,NESTLE COTE D'IVOIRE,1 877,12 590,12 975,"2,98"
2026-02-25 18:57:24.194945,ONTBF,ONATEL BURKINA FASO,7 008,2 800,2 715,"-3,04"
2026-02-25 18:57:24.194961,ORAC,ORANGE COTE D'IVOIRE,21 429,15 445,15 650,"0,97"
2026-02-25 18:57:24.194980,ORGT,ORAGROUP TOGO,3 493,3 150,3 205,"1,75"
2026-02-25 18:57:24.194998,PALC,PALM COTE D'IVOIRE,6 706,9 000,9 000,"0,00"
2026-02-25 18:57:24.195014,PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,1 114,4 510,4 635,"2,77"
2026-02-25 18:57:24.195030,SAFC,SAFCA COTE D'IVOIRE,7 790,5 290,5 500,"3,97"
2026-02-25 18:57:24.195047,SCRC,SUCRIVOIRE COTE D'IVOIRE,6 885,1 525,1 585,"4,28"
2026-02-25 18:57:24.195063,SDCC,SODE COTE D'IVOIRE,8 651,6 405,6 700,"4,61"
2026-02-25 18:57:24.195079,SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,22 425,2 325,2 290,"-0,43"
2026-02-25 18:57:24.195094,SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,13 194,2 500,2 415,"-3,40"
2026-02-25 18:57:24.195110,SGBC,SOCIETE GENERALE COTE D'IVOIRE,1 606,34 495,35 255,"2,23"
2026-02-25 18:57:24.195126,SHEC,VIVO ENERGY COTE D'IVOIRE,14 021,1 890,1 920,"2,13"
2026-02-25 18:57:24.195142,SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,34 385,6 805,6 800,"0,00"
2026-02-25 18:57:24.195158,SICC,SICOR COTE D'IVOIRE,455,4 200,4 185,"-0,24"
2026-02-25 18:57:24.195176,SIVC,ERIUM COTE D’IVOIRE,4 636,2 945,3 000,"1,69"
2026-02-25 18:57:24.195193,SLBC,SOLIBRA COTE D'IVOIRE,638,35 600,38 205,"7,50"
2026-02-25 18:57:24.195212,SMBC,SMB COTE D'IVOIRE,19 407,13 400,13 400,"0,00"
2026-02-25 18:57:24.195228,SNTS,SONATEL SENEGAL,10 964,28 700,29 200,"1,39"
2026-02-25 18:57:24.195244,SOGC,SOGB COTE D'IVOIRE,3 233,8 565,8 595,"1,24"
2026-02-25 18:57:24.195260,SPHC,SAPH COTE D'IVOIRE,18 067,8 115,8 000,"-1,42"
2026-02-25 18:57:24.195275,STAC,SETAO COTE D'IVOIRE,6 917,1 990,2 000,"0,00"
2026-02-25 18:57:24.195294,STBC,SITAB COTE D'IVOIRE,2 329,21 450,21 475,"0,12"
2026-02-25 18:57:24.195311,TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,15 534,2 705,2 750,"1,66"
2026-02-25 18:57:24.195327,TTLS,TOTALENERGIES MARKETING SENEGAL,3 719,2 850,2 850,"0,00"
2026-02-25 18:57:24.195343,UNLC,UNILEVER COTE D'IVOIRE,107,74 800,69 200,"-7,49"
2026-02-25 18:57:24.195359,UNXC,UNIWAX COTE D'IVOIRE,12 078,2 400,2 350,"-2,08"
