Date,Symbole,Nom,Volume,Cours ouverture,Cours Cloture,Variation
2025-11-25 06:23:22.915963,ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,893,2 365,2 360,"0,00"
2025-11-25 06:23:22.916014,BICB,BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN,350,4 955,4 970,"-4,42"
2025-11-25 06:23:22.916035,BICC,BICI COTE D'IVOIRE,102,20 250,20 350,"0,49"
2025-11-25 06:23:22.916052,BNBC,BERNABE COTE D'IVOIRE,1 670,1 400,1 365,"-2,85"
2025-11-25 06:23:22.916068,BOAB,BANK OF AFRICA BENIN,4 717,5 150,5 090,"-1,17"
2025-11-25 06:23:22.916084,BOABF,BANK OF AFRICA BURKINA FASO,1 687,3 785,3 770,"-0,40"
2025-11-25 06:23:22.916101,BOAC,BANK OF AFRICA COTE D'IVOIRE,1 762,7 300,7 295,"-0,07"
2025-11-25 06:23:22.916115,BOAM,BANK OF AFRICA MALI,3 513,3 800,3 790,"-0,26"
2025-11-25 06:23:22.916130,BOAN,BANK OF AFRICA NIGER,616,2 520,2 520,"-0,20"
2025-11-25 06:23:22.916145,BOAS,BANK OF AFRICA SENEGAL,4 597,5 500,5 310,"-3,45"
2025-11-25 06:23:22.916160,CABC,SICABLE COTE D'IVOIRE,393,2 400,2 400,"7,14"
2025-11-25 06:23:22.916175,CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,412,11 000,11 000,"0,00"
2025-11-25 06:23:22.916191,CFAC,CFAO MOTORS COTE D'IVOIRE,4 317,1 475,1 475,"-0,34"
2025-11-25 06:23:22.916209,CIEC,CIE COTE D'IVOIRE,891,2 625,2 620,"-0,38"
2025-11-25 06:23:22.916223,ECOC,ECOBANK COTE D'IVOIRE,2 751,15 300,15 300,"0,00"
2025-11-25 06:23:22.916237,ETIT,Ecobank Transnational Incorporated TOGO,223 304,23,24,"0,00"
2025-11-25 06:23:22.916251,FTSC,FILTISAC COTE D'IVOIRE,2 208,2 290,2 250,"-1,75"
2025-11-25 06:23:22.916266,LNBB,LOTERIE NATIONALE DU BENIN,7 655,3 845,3 755,"-3,47"
2025-11-25 06:23:22.916280,NEIC,NEI-CEDA COTE D'IVOIRE,1 408,945,940,"-0,53"
2025-11-25 06:23:22.916294,NSBC,NSIA BANQUE COTE D'IVOIRE,261,11 990,11 955,"-0,29"
2025-11-25 06:23:22.916308,NTLC,NESTLE COTE D'IVOIRE,223,11 850,11 530,"-2,70"
2025-11-25 06:23:22.916322,ONTBF,ONATEL BURKINA FASO,1 444,2 500,2 490,"0,00"
2025-11-25 06:23:22.916336,ORAC,ORANGE COTE D'IVOIRE,1 157,14 990,14 550,"-3,00"
2025-11-25 06:23:22.916350,ORGT,ORAGROUP TOGO,1 548,2 640,2 580,"3,20"
2025-11-25 06:23:22.916364,PALC,PALM COTE D'IVOIRE,4 238,8 095,8 100,"0,06"
2025-11-25 06:23:22.916378,PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,968,3 970,3 970,"0,00"
2025-11-25 06:23:22.916392,SAFC,SAFCA COTE D'IVOIRE,1 921,3 135,2 960,"-5,58"
2025-11-25 06:23:22.916407,SCRC,SUCRIVOIRE COTE D'IVOIRE,6 010,995,1 000,"0,00"
2025-11-25 06:23:22.916421,SDCC,SODE COTE D'IVOIRE,1 435,6 100,6 100,"-0,08"
2025-11-25 06:23:22.916435,SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,4 211,1 445,1 490,"1,02"
2025-11-25 06:23:22.916450,SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,0,0,700,"0,00"
2025-11-25 06:23:22.916464,SGBC,SOCIETE GENERALE COTE D'IVOIRE,664,27 095,27 650,"4,34"
2025-11-25 06:23:22.916478,SHEC,VIVO ENERGY COTE D'IVOIRE,23 187,1 620,1 570,"3,97"
2025-11-25 06:23:22.916493,SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,4 559,5 780,5 550,"-3,98"
2025-11-25 06:23:22.916507,SICC,SICOR COTE D'IVOIRE,5,3 640,3 640,"0,00"
2025-11-25 06:23:22.916521,SIVC,AIR LIQUIDE COTE D'IVOIRE,4 578,685,695,"0,72"
2025-11-25 06:23:22.916535,SLBC,SOLIBRA COTE D'IVOIRE,127,27 005,28 000,"3,68"
2025-11-25 06:23:22.916549,SMBC,SMB COTE D'IVOIRE,305,9 840,9 835,"-0,10"
2025-11-25 06:23:22.916563,SNTS,SONATEL SENEGAL,13 475,25 000,25 150,"0,20"
2025-11-25 06:23:22.916578,SOGC,SOGB COTE D'IVOIRE,765,7 990,7 950,"-0,50"
2025-11-25 06:23:22.916592,SPHC,SAPH COTE D'IVOIRE,7 639,7 400,7 690,"4,70"
2025-11-25 06:23:22.916606,STAC,SETAO COTE D'IVOIRE,995,1 090,1 100,"0,00"
2025-11-25 06:23:22.916620,STBC,SITAB COTE D'IVOIRE,1 985,19 700,19 650,"-0,25"
2025-11-25 06:23:22.916634,TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,9 356,2 250,2 350,"-0,42"
2025-11-25 06:23:22.916648,TTLS,TOTALENERGIES MARKETING SENEGAL,374,2 500,2 500,"0,40"
2025-11-25 06:23:22.916662,UNLC,UNILEVER COTE D'IVOIRE,13,38 000,40 850,"7,50"
2025-11-25 06:23:22.916676,UNXC,UNIWAX COTE D'IVOIRE,7 509,1 430,1 575,"7,14"
