Date,Symbole,Nom,Volume,Cours ouverture,Cours Cloture,Variation
2026-02-19 14:42:17.179779,ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,5 246,3 530,3 530,"7,46"
2026-02-19 14:42:17.179834,BICB,BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN,5 186,5 000,4 990,"0,00"
2026-02-19 14:42:17.179859,BICC,BICI COTE D'IVOIRE,738,21 450,21 500,"2,31"
2026-02-19 14:42:17.179885,BNBC,BERNABE COTE D'IVOIRE,1 931,1 580,1 580,"0,32"
2026-02-19 14:42:17.179903,BOAB,BANK OF AFRICA BENIN,4 791,6 890,6 870,"-0,29"
2026-02-19 14:42:17.179922,BOABF,BANK OF AFRICA BURKINA FASO,7 164,4 655,4 655,"-0,96"
2026-02-19 14:42:17.179940,BOAC,BANK OF AFRICA COTE D'IVOIRE,11 121,7 500,7 500,"-1,32"
2026-02-19 14:42:17.179956,BOAM,BANK OF AFRICA MALI,5 035,4 405,4 450,"1,14"
2026-02-19 14:42:17.179972,BOAN,BANK OF AFRICA NIGER,2 791,2 600,2 600,"0,00"
2026-02-19 14:42:17.179990,BOAS,BANK OF AFRICA SENEGAL,3 254,6 050,6 030,"0,08"
2026-02-19 14:42:17.180007,CABC,SICABLE COTE D'IVOIRE,1 082,3 100,3 315,"7,46"
2026-02-19 14:42:17.180024,CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,756,12 900,12 900,"-0,77"
2026-02-19 14:42:17.180042,CFAC,CFAO MOTORS COTE D'IVOIRE,9 562,1 595,1 695,"6,27"
2026-02-19 14:42:17.180058,CIEC,CIE COTE D'IVOIRE,7 563,2 800,2 845,"1,61"
2026-02-19 14:42:17.180074,ECOC,ECOBANK COTE D'IVOIRE,691,16 950,16 250,"-4,41"
2026-02-19 14:42:17.180090,ETIT,Ecobank Transnational Incorporated TOGO,1 581 095,34,33,"-2,94"
2026-02-19 14:42:17.180109,FTSC,FILTISAC COTE D'IVOIRE,4 621,2 250,2 250,"0,00"
2026-02-19 14:42:17.180129,LNBB,LOTERIE NATIONALE DU BENIN,865,3 885,3 885,"-0,13"
2026-02-19 14:42:17.180145,NEIC,NEI-CEDA COTE D'IVOIRE,7 038,1 425,1 515,"6,32"
2026-02-19 14:42:17.180161,NSBC,NSIA BANQUE COTE D'IVOIRE,1 310,13 980,13 980,"-0,07"
2026-02-19 14:42:17.180177,NTLC,NESTLE COTE D'IVOIRE,521,12 000,12 100,"0,83"
2026-02-19 14:42:17.180193,ONTBF,ONATEL BURKINA FASO,30 599,2 855,2 890,"0,70"
2026-02-19 14:42:17.180209,ORAC,ORANGE COTE D'IVOIRE,4 667,14 120,14 600,"3,51"
2026-02-19 14:42:17.180224,ORGT,ORAGROUP TOGO,6 323,3 055,3 045,"0,00"
2026-02-19 14:42:17.180241,PALC,PALM COTE D'IVOIRE,6 161,9 000,9 005,"0,06"
2026-02-19 14:42:17.180257,PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,764,4 530,4 500,"0,00"
2026-02-19 14:42:17.180273,SAFC,SAFCA COTE D'IVOIRE,5 263,4 500,4 625,"7,43"
2026-02-19 14:42:17.180290,SCRC,SUCRIVOIRE COTE D'IVOIRE,35 077,1 620,1 550,"-4,91"
2026-02-19 14:42:17.180305,SDCC,SODE COTE D'IVOIRE,582,6 300,6 295,"-0,08"
2026-02-19 14:42:17.180320,SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,18 791,2 000,2 100,"5,00"
2026-02-19 14:42:17.180336,SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,23 202,2 675,2 565,"3,01"
2026-02-19 14:42:17.180355,SGBC,SOCIETE GENERALE COTE D'IVOIRE,646,32 840,32 500,"1,09"
2026-02-19 14:42:17.180370,SHEC,VIVO ENERGY COTE D'IVOIRE,3 214,1 730,1 760,"2,03"
2026-02-19 14:42:17.180386,SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,3 450,6 795,6 660,"1,60"
2026-02-19 14:42:17.180405,SICC,SICOR COTE D'IVOIRE,280,3 900,3 610,"-6,72"
2026-02-19 14:42:17.180421,SIVC,ERIUM COTE D’IVOIRE,8 945,2 690,2 695,"0,00"
2026-02-19 14:42:17.180437,SLBC,SOLIBRA COTE D'IVOIRE,645,34 000,33 065,"-2,75"
2026-02-19 14:42:17.180453,SMBC,SMB COTE D'IVOIRE,728,12 800,13 505,"6,13"
2026-02-19 14:42:17.180469,SNTS,SONATEL SENEGAL,11 376,28 500,28 200,"0,36"
2026-02-19 14:42:17.180485,SOGC,SOGB COTE D'IVOIRE,9 279,8 495,8 395,"-0,83"
2026-02-19 14:42:17.180501,SPHC,SAPH COTE D'IVOIRE,3 674,7 800,7 800,"1,30"
2026-02-19 14:42:17.180517,STAC,SETAO COTE D'IVOIRE,8 631,1 700,1 825,"7,35"
2026-02-19 14:42:17.180533,STBC,SITAB COTE D'IVOIRE,2 091,21 000,21 400,"1,95"
2026-02-19 14:42:17.180555,TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,11 223,2 520,2 690,"6,75"
2026-02-19 14:42:17.180571,TTLS,TOTALENERGIES MARKETING SENEGAL,6 683,2 800,2 875,"2,68"
2026-02-19 14:42:17.180590,UNLC,UNILEVER COTE D'IVOIRE,143,80 000,79 995,"-0,01"
2026-02-19 14:42:17.180605,UNXC,UNIWAX COTE D'IVOIRE,15 321,2 400,2 355,"-1,67"
