Date,Symbole,Nom,Volume,Cours ouverture,Cours Cloture,Variation
2026-07-22 06:22:56.423842,ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,1 695,2 990,2 960,"0,34"
2026-07-22 06:22:56.423881,BICB,BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN,3 792,6 450,6 600,"2,33"
2026-07-22 06:22:56.423911,BICC,BICI COTE D'IVOIRE,299,28 000,28 040,"0,14"
2026-07-22 06:22:56.423933,BNBC,BERNABE COTE D'IVOIRE,552,1 885,1 985,"-0,25"
2026-07-22 06:22:56.423952,BOAB,BANK OF AFRICA BENIN,2 589,8 600,8 580,"-0,23"
2026-07-22 06:22:56.423971,BOABF,BANK OF AFRICA BURKINA FASO,10 015,6 945,7 200,"3,60"
2026-07-22 06:22:56.423994,BOAC,BANK OF AFRICA COTE D'IVOIRE,7 961,9 790,9 885,"0,97"
2026-07-22 06:22:56.424011,BOAM,BANK OF AFRICA MALI,2 211,5 700,5 665,"-0,61"
2026-07-22 06:22:56.424029,BOAN,BANK OF AFRICA NIGER,8 089,5 295,5 195,"-3,53"
2026-07-22 06:22:56.424047,BOAS,BANK OF AFRICA SENEGAL,2 239,7 545,7 485,"-0,86"
2026-07-22 06:22:56.424064,CABC,SICABLE COTE D'IVOIRE,810,3 695,3 950,"6,90"
2026-07-22 06:22:56.424101,CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,1 649,26 250,26 250,"-4,55"
2026-07-22 06:22:56.424123,CFAC,CFAO MOTORS COTE D'IVOIRE,5 164,1 700,1 605,"-5,59"
2026-07-22 06:22:56.424142,CIEC,CIE COTE D'IVOIRE,1 624,5 140,5 190,"0,00"
2026-07-22 06:22:56.424159,ECOC,ECOBANK COTE D'IVOIRE,2 300,15 800,15 715,"0,00"
2026-07-22 06:22:56.424176,ETIT,Ecobank Transnational Incorporated TOGO,7 577 297,59,66,"4,76"
2026-07-22 06:22:56.424193,FTSC,FILTISAC COTE D'IVOIRE,1 606,1 985,1 990,"0,25"
2026-07-22 06:22:56.424210,LNBB,LOTERIE NATIONALE DU BENIN,200,4 300,4 100,"0,00"
2026-07-22 06:22:56.424227,NEIC,NEI-CEDA COTE D'IVOIRE,1 725,2 190,2 200,"0,46"
2026-07-22 06:22:56.424243,NSBC,NSIA BANQUE COTE D'IVOIRE,1 158,23 995,22 000,"-2,48"
2026-07-22 06:22:56.424260,NTLC,NESTLE COTE D'IVOIRE,554,15 975,15 985,"0,00"
2026-07-22 06:22:56.424277,ONTBF,ONATEL BURKINA FASO,84 400,2 600,2 745,"2,62"
2026-07-22 06:22:56.424294,ORAC,ORANGE COTE D'IVOIRE,2 423,16 160,16 000,"-0,93"
2026-07-22 06:22:56.424310,ORGT,ORAGROUP TOGO,1 624,2 690,2 720,"1,12"
2026-07-22 06:22:56.424327,PALC,PALM COTE D'IVOIRE,3 138,8 670,8 750,"0,81"
2026-07-22 06:22:56.424344,PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,731,4 600,4 645,"0,98"
2026-07-22 06:22:56.424360,SAFC,SAFCA COTE D'IVOIRE,2 822,4 200,4 385,"4,40"
2026-07-22 06:22:56.424377,SCRC,SUCRIVOIRE COTE D'IVOIRE,8 156,3 750,3 525,"-5,24"
2026-07-22 06:22:56.424394,SDCC,SODE COTE D'IVOIRE,1 949,11 900,11 970,"0,59"
2026-07-22 06:22:56.424410,SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,7 892,2 820,2 790,"-1,06"
2026-07-22 06:22:56.424425,SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,4 428,1 410,1 430,"1,42"
2026-07-22 06:22:56.424441,SGBC,SOCIETE GENERALE COTE D'IVOIRE,2 082,38 000,38 000,"0,00"
2026-07-22 06:22:56.424457,SHEC,VIVO ENERGY COTE D'IVOIRE,3 711,2 200,2 200,"4,51"
2026-07-22 06:22:56.424476,SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,12 924,8 815,8 855,"0,57"
2026-07-22 06:22:56.424495,SICC,SICOR COTE D'IVOIRE,62,5 600,5 600,"0,00"
2026-07-22 06:22:56.424511,SIVC,ERIUM COTE D’IVOIRE,11 976,2 300,2 160,"-6,09"
2026-07-22 06:22:56.424527,SLBC,SOLIBRA COTE D'IVOIRE,1 171,39 155,38 995,"-0,03"
2026-07-22 06:22:56.424544,SMBC,SMB COTE D'IVOIRE,618,15 500,16 295,"3,79"
2026-07-22 06:22:56.424561,SNTS,SONATEL SENEGAL,5 020,31 500,31 500,"-1,56"
2026-07-22 06:22:56.424577,SOGC,SOGB COTE D'IVOIRE,301,8 020,8 150,"1,88"
2026-07-22 06:22:56.424594,SPHC,SAPH COTE D'IVOIRE,451,7 305,7 350,"0,68"
2026-07-22 06:22:56.424610,STAC,SETAO COTE D'IVOIRE,2 697,3 190,3 100,"-2,97"
2026-07-22 06:22:56.424627,STBC,SITAB COTE D'IVOIRE,524,23 010,23 500,"0,02"
2026-07-22 06:22:56.424643,TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,1 205,2 875,2 885,"0,35"
2026-07-22 06:22:56.424659,TTLS,TOTALENERGIES MARKETING SENEGAL,1 808,3 600,3 745,"-1,45"
2026-07-22 06:22:56.424675,UNLC,UNILEVER COTE D'IVOIRE,5,52 000,50 500,"-2,88"
2026-07-22 06:22:56.424691,UNXC,UNIWAX COTE D'IVOIRE,11 470,1 880,1 875,"0,27"
